UC;Animal ID;Years tracked;Season;No. loc.;HRK;HR
Morro do Diabo State Park;M1;1;Annual home range;159;HR50;28 (22 - 35)
Morro do Diabo State Park;M2;1;Annual home range;156;HR50;177 (133 - 227)
Morro do Diabo State Park;F1;1;Annual home range;92;HR50;8 (5 - 13)
Morro do Diabo State Park;F2;2;Annual home range;17;HR50;36 (21 - 57)
Morro do Diabo State Park;F3;5;Annual home range;35;HR50;54 (36 - 75)
Morro do Diabo State Park;F4;2;Annual home range;211;HR50;21 (31 - 44)
Morro do Diabo State Park;F5;1;Annual home range;18;HR50;63 (33 - 102)
Ivinhema State Park;M3;2;Annual home range;797;HR50;119 (94 - 147)
Ivinhema State Park;F6;4;Annual home range;326;HR50;58 (43 - 75)
Ivinhema State Park;F7;1;Annual home range;183;HR50;179 (73 - 331)
Morro do Diabo State Park;M1;1;Dry-season home range;87;HR50;34 (24 - 46)
Morro do Diabo State Park;M2;1;Dry-season home range;138;HR50;188 (139 - 244)
Morro do Diabo State Park;F1;1;Dry-season home range;58;HR50;3 (2 - 4)
Morro do Diabo State Park;F2;2;Dry-season home range;-;HR50;-
Morro do Diabo State Park;F3;5;Dry-season home range;24;HR50;40 (24 - 62)
Morro do Diabo State Park;F4;2;Dry-season home range;170;HR50;31 (20 - 45)
Morro do Diabo State Park;F5;1;Dry-season home range;18;HR50;63 (33 - 102)
Ivinhema State Park;M3;2;Dry-season home range;399;HR50;118 (80 - 164)
Ivinhema State Park;F6;4;Dry-season home range;148;HR50;67 (43 - 96)
Ivinhema State Park;F7;1;Dry-season home range;154;HR50;142 (54 - 272)
Morro do Diabo State Park;M1;1;Wet-season home range;72;HR50;27 (19 - 35)
Morro do Diabo State Park;M2;1;Wet-season home range;18;HR50;85 (38 - 152)
Morro do Diabo State Park;F1;1;Wet-season home range;34;HR50;33 (7 - 79)
Morro do Diabo State Park;F2;2;Wet-season home range;17;HR50;36 (21 - 57)
Morro do Diabo State Park;F3;5;Wet-season home range;11;HR50;108 (46 - 198)
Morro do Diabo State Park;F4;2;Wet-season home range;88;HR50;16 (10 - 23)
Morro do Diabo State Park;F5;1;Wet-season home range;-;HR50;-
Ivinhema State Park;M3;2;Wet-season home range;398;HR50;136 (100 - 177)
Ivinhema State Park;F6;4;Wet-season home range;178;HR50;58 (38 - 82)
Ivinhema State Park;F7;1;Wet-season home range;29;HR50;29 (4 - 77)
Morro do Diabo State Park;M1;1;Annual home range;159;HR85;74 (59 - 92)
Morro do Diabo State Park;M2;1;Annual home range;156;HR85;459 (345 - 588)
Morro do Diabo State Park;F1;1;Annual home range;92;HR85;29 (17 - 43)
Morro do Diabo State Park;F2;2;Annual home range;17;HR85;51 (89 - 138)
Morro do Diabo State Park;F3;5;Annual home range;35;HR85;159 (106 - 224)
Morro do Diabo State Park;F4;2;Annual home range;211;HR85;75 (50 - 106)
Morro do Diabo State Park;F5;1;Annual home range;18;HR85;164 (87 - 266)
Ivinhema State Park;M3;2;Annual home range;797;HR85;325 (258 - 399)
Ivinhema State Park;F6;4;Annual home range;326;HR85;158 (118 - 204)
Ivinhema State Park;F7;1;Annual home range;183;HR85;466 (191 - 860)
Morro do Diabo State Park;M1;1;Dry-season home range;87;HR85;85 (60 - 114)
Morro do Diabo State Park;M2;1;Dry-season home range;138;HR85;480 (354 - 624)
Morro do Diabo State Park;F1;1;Dry-season home range;58;HR85;11 (7 - 15)
Morro do Diabo State Park;F2;2;Dry-season home range;-;HR85;-
Morro do Diabo State Park;F3;5;Dry-season home range;24;HR85;111 (65 - 169)
Morro do Diabo State Park;F4;2;Dry-season home range;170;HR85;77 (50 - 109)
Morro do Diabo State Park;F5;1;Dry-season home range;18;HR85;164 (87 - 266)
Ivinhema State Park;M3;2;Dry-season home range;399;HR85;333 (226 - 461)
Ivinhema State Park;F6;4;Dry-season home range;148;HR85;192 (124 - 274)
Ivinhema State Park;F7;1;Dry-season home range;154;HR85;392 (149 - 750)
Morro do Diabo State Park;M1;1;Wet-season home range;72;HR85;64 (50 - 92)
Morro do Diabo State Park;M2;1;Wet-season home range;18;HR85;226 (99 - 402)
Morro do Diabo State Park;F1;1;Wet-season home range;34;HR85;98 (20 - 235)
Morro do Diabo State Park;F2;2;Wet-season home range;17;HR85;51 (89 - 138)
Morro do Diabo State Park;F3;5;Wet-season home range;11;HR85;282 (119 - 513)
Morro do Diabo State Park;F4;2;Wet-season home range;88;HR85;41 (26 - 60)
Morro do Diabo State Park;F5;1;Wet-season home range;-;HR85;-
Ivinhema State Park;M3;2;Wet-season home range;398;HR85;360 (267 - 469)
